('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      265    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      283    0.000    0.000    0.000    0.000 element.py:2355(get)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        9    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
      384    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       52    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       49    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       12    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
        2    0.000    0.000    0.069    0.035 response.py:889(_raw_read)
      199    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
       64    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
      355    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.113    0.113 __init__.py:211(__init__)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  166/163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      154    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      169    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      327    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       11    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.002    0.001 adapters.py:336(build_response)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x100f55800}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      530    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        7    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      277    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
